customerNumber,componentType,brandName,description,sku,alternateSku,warrantyDays,customerName
103498,PANEL,TP Series,PANEL: LCD J300 2016 2PUMP V1.01,6600-339,6600-339,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD J400 2016 EXP V2.14,6600-769,6600-769,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD J400 2016 V2.14,6600-760,6600-760,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD J500 2015 V.1.15,6600-100,6600-100,1096,SUNDANCE SPAS INC - CA
103498,PANEL,spaTouch,PANEL: LCD J500 2016 V1.15,6600-347,6600-347,1096,SUNDANCE SPAS INC - CA
103498,PUMP,Ultimax (UM),1.5HP 2SP 115V 60HZ NB1,6500-345,6500-345,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Ultimax (UM),2.5 HP 1SP 230V 60HZ NB1,6500-341,6500-341,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Ultimax (UM),2.5 HP 2SP 230V 60HZ NB1,6500-343,6500-343,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),DJ SI 2.0HP 2S 43FT MBHV BULK,1025009,01562-45DE,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),DJ SPA PUMP 3.6HP 2S230V NO CO,DJAYGB-9173D,01562-39C,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),SPA PUMP 1.5HPR 115V 2SPD,DJAYEA-0111,,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),SPA PUMP 3.6HP 230V1-SPD NO CO,DJAGB-0173D,01562-40,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Dura Jet (DJ),SPA PUMP 4-.38HP 230V2SPW/3 FT,DJAAYGB-3113,01562-23A,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Ultima (UL),UL USM 1HP 2S R3 LV 60Hz 53AMP,1014210,,0366,SUNDANCE SPAS INC - CA
103498,PUMP,Ultima Plus (UP),UP AO 2.0HP 2S 36FT MBHV BULK,1015009,6500-217,0366,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 880 2PMP 50HZ W/HTR V1.25,6600-771,6600-771,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 880 2PMP 60HZ W/HTR V1.24,6600-770,6600-770,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 880 3PMP 50HZ W/HTR V1.24,6600-773,6600-773,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 880 3PMP 60HZ W/HTR V1.24,6600-772,6600-772,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 980 2PMP BL 50HZ,6600-788,,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: 980 2PMP BL 60HZ,6600-787,6600-787,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J300 1P 50HZ BLB 2016 V1.23,6600-775,6600-775,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J300 1P 60HZ BLB 2016 V1.23,6600-776,6600-776,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J300 2P 50HZ BLB 2016 V1.23,6600-414,6600-414,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J300 2P 60HZ BLB 2016 V1.23,6600-413,6600-413,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J400 2P 50HZ WHTR V1.23 (14),6600-762,6600-762,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J400 2P 60HZ WHTR V1.23 (14),6600-761,6600-761,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J400 3PMP 50HZ W/HTR V1.23,6600-764,6600-764,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J400 3PMP 60HZ W/HTR V1.23,6600-763,6600-763,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J500 2P 50HZ NO HR V1.23(14),6600-410,6600-410,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J500 2P 50HZ W/HR V1.23 (14),6600-411,6600-411,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J500 2P 60HZ NO HT V1.23(14),6600-408,6600-408,1096,SUNDANCE SPAS INC - CA
103498,CONTROLLER,BP2100 CE,CONTROLLER: J500 2P 60HZ W/HR V1.23 (14),6600-409,6600-409,1096,SUNDANCE SPAS INC - CA
103498,OZONE,Sanitization,OZONE BATH GEN KIT 115V  NO PLUG,99815NP,,366
103498,OZONE,Sanitization,OZONE BATH GEN KIT 115V W/PIGY,99815,,366
103498,GATEWAY,Triton Gateway: Beta 01,rPi : Agent 1.0.0,17092-83280-1a,,1096
102188,GATEWAY,Triton Gateway: Beta 01,rPi : Agent 1.0.0,17092-83280-1a,,1096
103498,GATEWAY,Triton Gateway: Beta 03,ts7970 : Agent 1.0.0,17092-83280-1b,,1096
102188,GATEWAY,Triton Gateway: Beta 03,ts7970 : Agent 1.0.0,17092-83280-1b,,1096
103498,GATEWAY,Triton Gateway: Beta 02,renasas beta : Agent 1.0.0,17092-83280-1z31096,,366
103498,MOTE,Triton Current Mote,Beta 02,1-000020-1,,1096
103498,MOTE,Triton Current Mote,Beta 01 - acme inc.,88-441a4,,1096
103498,LIGHT,Standard White Light,150W 110V White,1435661-01,,1096
102188,LIGHT,Standard White Light,150W 110V White,1435661-01,,1096
103498,LIGHT,Standard Red Light,150W 110V Red,1435661-01,,1096
102188,LIGHT,Standard Red Light,150W 110V Red,1435661-01,,1096
103498,LIGHT,Standard Blue Light,150W 110V Blue,214222,,1096
102188,LIGHT,Standard Blue Light,150W 110V Blue,214222,,1096
103498,LIGHT,Bright White Light,250W 110V White,14214-01,,1096
102188,LIGHT,Bright White Light,250W 110V White,14214-01,,1096
103498,LIGHT,Disco Ball,390W 110V Multi-color,213144,,1096
102188,LIGHT,Disco Ball,390W 110V Multi-color,213144,,1096
103498,LIGHT,MoodEFX™ LED Lights (23138),22 per pack,231138,,1096
103498,FILTER,Standard Filter,Clean Zone System,808-qq9,,1096
103498,FILTER,Deluxe,Clean Zone II UV System,808-x21,,1096
103498,MICROSILK,MicroSilk® Spa 50Hz Tankless System,50438-XX  with Overlay 13141 (Jets/Aux/MicroSilk/Light),58952-V,,1096
103498,MICROSILK,MicroSilk® Spa 50Hz V3 2 Tank System,,58953-V3,,1096
103498,MICROSILK,MicroSilk® Spa 60Hz V3 2 Tank System,,58962-V3,,1096
103498,BLOWER,Quiet-flo blower,V/Hz: 115V/60Hz Amps: 6.3m Horsepower: 1 Cord: NEMA plug,8141-0020-a,,1096
103498,BLOWER,Quiet-flo blower with heater,V/Hz: 115V/60Hz Amps: 11.9m 600W Cord: NEMA plug,8141-6020-a,,1096
103498,MISTER,Mistified,Mister 22,51152-1,,1096
102188,FILTER,Standard Filter,Clean Zone System,808-qq9,,1096
102188,FILTER,Deluxe,Clean Zone II UV System,808-x21,,1096
102188,MICROSILK,MicroSilk® Spa 50Hz Tankless System,50438-XX  with Overlay 13141 (Jets/Aux/MicroSilk/Light),58952-V,,1096
102188,MICROSILK,MicroSilk® Spa 50Hz V3 2 Tank System,,58953-V3,,1096
102188,MICROSILK,MicroSilk® Spa 60Hz V3 2 Tank System,,58962-V3,,1096
102188,BLOWER,spa compact quiet-flo blower,V/Hz: 115V/60Hz Amps: 6.3m Horsepower: 1Cord: NEMA plug,8141-0020,,1096
102188,BLOWER,spa compact quiet-flo blower with heater,V/Hz: 115V/60Hz Amps: 11.9m 600W Cord: NEMA plug,8141-6020,,1096
102188,MISTER,Mister 2000,Mister KJFL33,51151,,1096
102188,MISTER,Deluxe Mister,Mister 6,51152,,1096
103498,AUX,BLUEWAVE Spa Stereo System,Play Music from you iphone,808-441a4,,1096
103498,AUX,Bose Wireless Stereo,SoundTouch® 10 wireless music system.,808-441a5,,1096
103498,AUX,Umbrella Stereo,Seranata Patio Umbrella w/ Stereo System,808-441a6,,1096
103498,AUX,Waterfall,Aurora Cascade Water Feature,001820001,,1096
103498,AUX,BLUETOOTH,Balboa Bluetooth Audio,59019-01,,1096
102188,AUX,Bose Wireless Stereo,SoundTouch® 10 wireless music system.,808-441a5,,1096
102188,AUX,Umbrella Stereo,Seranata Patio Umbrella w/ Stereo System,808-441a6,,1096
102188,AUX,Waterfall,Aurora Cascade Water Feature,001820001,,1096
102188,AUX,BLUETOOTH,Balboa Bluetooth Audio,59019-01,,1096
102188,CONTROLLER,GS50x Series,CONTROLLER: SYSTEM MAAX GS501Z 2.0KW,56241,108741,1096
